EURUSD	5	20200701	053500	1.1239900	1.1240100	1.1236000	1.1237200	4997
EURUSD	5	20200701	054000	1.1238100	1.1240000	1.1236000	1.1239000	3265
EURUSD	5	20200701	054500	1.1239600	1.1240000	1.1237000	1.1238200	2444
EURUSD	5	20200701	055000	1.1239000	1.1240000	1.1236500	1.1239700	3637
EURUSD	5	20200701	055500	1.1238900	1.1240100	1.1236000	1.1238200	3937
EURUSD	5	20200701	060000	1.1238300	1.1239100	1.1236000	1.1237500	3729
EURUSD	5	20200701	060500	1.1237800	1.1238900	1.1234500	1.1236800	4509
EURUSD	5	20200701	061000	1.1235900	1.1237300	1.1234000	1.1236600	3087
EURUSD	5	20200701	061500	1.1236600	1.1238300	1.1235000	1.1236500	2909
EURUSD	5	20200701	062000	1.1236700	1.1238000	1.1234000	1.1236100	3180
EURUSD	5	20200701	062500	1.1236600	1.1238000	1.1232500	1.1234700	3070
EURUSD	5	20200701	063000	1.1233700	1.1236000	1.1232000	1.1234000	2719
EURUSD	5	20200701	063500	1.1234000	1.1236000	1.1232000	1.1234900	2406
EURUSD	5	20200701	064000	1.1234600	1.1236400	1.1231000	1.1233400	3663
EURUSD	5	20200701	064500	1.1232500	1.1234100	1.1229000	1.1230600	5149
EURUSD	5	20200701	065000	1.1231500	1.1231900	1.1226000	1.1228000	4883
EURUSD	5	20200701	065500	1.1227400	1.1229700	1.1225000	1.1226100	3334
EURUSD	5	20200701	070000	1.1226700	1.1227400	1.1220000	1.1226200	7201
EURUSD	5	20200701	070500	1.1225500	1.1227000	1.1223000	1.1226100	3718
EURUSD	5	20200701	071000	1.1225100	1.1227300	1.1223500	1.1226100	4489
EURUSD	5	20200701	071500	1.1225600	1.1226000	1.1221500	1.1223100	4456
EURUSD	5	20200701	072000	1.1223800	1.1224500	1.1221500	1.1224300	3877
EURUSD	5	20200701	072500	1.1224300	1.1225500	1.1222000	1.1223900	4333
EURUSD	5	20200701	073000	1.1224100	1.1225700	1.1222000	1.1224700	4078
EURUSD	5	20200701	073500	1.1225000	1.1226700	1.1223500	1.1226100	3781
EURUSD	5	20200701	074000	1.1225900	1.1227100	1.1222000	1.1223000	5581
EURUSD	5	20200701	074500	1.1224200	1.1224800	1.1221000	1.1223900	4700
